episode,timestep,return,length,epsilon,loss,mean_q,success
0,1999,-2000.0,2000,0.9620000000000175,4.326468115323223e-05,-0.10998525470495224,0
1,3999,-2000.0,2000,0.924000000000035,4.0204497054219246e-05,-2.1284189224243164,0
2,5999,-2000.0,2000,0.8860000000000525,0.0001033270382322371,-4.042938232421875,0
3,7999,-2000.0,2000,0.84800000000007,3.5257711715530604e-05,-5.9090728759765625,0
4,9999,-2000.0,2000,0.8100000000000875,0.000738522270694375,-7.775862693786621,0
5,11999,-2000.0,2000,0.772000000000105,0.00012712401803582907,-9.58298110961914,0
6,13999,-2000.0,2000,0.7340000000001226,0.004348790273070335,-11.303296089172363,0
7,15957,-1958.0,1958,0.6967980000001397,0.0007414574502035975,-12.748773574829102,1
8,17957,-2000.0,2000,0.6587980000001572,0.001072137150913477,-14.46552562713623,0
9,19957,-2000.0,2000,0.6207980000001747,0.009176824241876602,-16.098182678222656,0
10,21957,-2000.0,2000,0.5827980000001922,0.0077843377366662025,-17.465290069580078,0
11,23957,-2000.0,2000,0.5447980000002097,0.021825702860951424,-19.210556030273438,0
12,24351,-394.0,394,0.5373120000002132,0.018083395436406136,-19.78643798828125,1
13,25159,-808.0,808,0.5219600000002202,0.0012473377864807844,-20.636417388916016,1
14,25868,-709.0,709,0.5084890000002265,0.03760897368192673,-20.519771575927734,1
15,26555,-687.0,687,0.49543600000023247,0.0007130549056455493,-21.416860580444336,1
16,27147,-592.0,592,0.48418800000023765,0.005466498900204897,-22.25831413269043,1
17,27838,-691.0,691,0.4710590000002437,0.014310766011476517,-22.163166046142578,1
18,28543,-705.0,705,0.45766400000024987,0.0014628226635977626,-22.793498992919922,1
19,29173,-630.0,630,0.4456940000002554,0.0018248207634314895,-23.605194091796875,1
20,29901,-728.0,728,0.43186200000026176,0.014433377422392368,-23.555957794189453,1
21,30642,-741.0,741,0.41778300000026825,0.00990657601505518,-24.3060245513916,1
22,31472,-830.0,830,0.4020130000002755,0.004528163466602564,-24.933761596679688,1
23,32323,-851.0,851,0.38584400000028296,0.0052810851484537125,-25.590595245361328,1
24,33358,-1035.0,1035,0.366179000000292,0.016482295468449593,-26.541301727294922,1
25,33812,-454.0,454,0.357553000000296,0.02495414763689041,-26.3349609375,1
26,34427,-615.0,615,0.3458680000003014,0.07248853147029877,-26.738019943237305,1
