episode,timestep,return,length,epsilon,loss,mean_q
0,1999,-2000.0,2000,0.9620000000000175,3.181781357852742e-05,-0.2878580689430237
1,3999,-2000.0,2000,0.924000000000035,3.191013092873618e-05,-2.1890125274658203
2,5999,-2000.0,2000,0.8860000000000525,3.7318182876333594e-05,-4.140009880065918
3,7999,-2000.0,2000,0.84800000000007,7.358197763096541e-05,-5.962221622467041
4,9999,-2000.0,2000,0.8100000000000875,0.001930035650730133,-7.915276050567627
5,11999,-2000.0,2000,0.772000000000105,0.0009300920646637678,-9.696174621582031
6,13999,-2000.0,2000,0.7340000000001226,0.00035547203151509166,-11.308895111083984
7,15999,-2000.0,2000,0.6960000000001401,0.0010681478306651115,-13.037582397460938
8,17999,-2000.0,2000,0.6580000000001576,0.0004909635172225535,-14.719305038452148
9,19999,-2000.0,2000,0.6200000000001751,0.009765870869159698,-16.337724685668945
10,21999,-2000.0,2000,0.5820000000001926,0.011602569371461868,-17.58688735961914
11,23238,-1239.0,1239,0.5584590000002034,0.0006999045144766569,-18.953937530517578
12,24566,-1328.0,1328,0.5332270000002151,0.00109351787250489,-19.844192504882812
13,25898,-1332.0,1332,0.5079190000002267,0.04111190140247345,-20.447837829589844
14,27054,-1156.0,1156,0.48595500000023684,0.011993542313575745,-22.15399742126465
15,27788,-734.0,734,0.47200900000024326,0.005834006704390049,-22.162328720092773
16,28626,-838.0,838,0.4560870000002506,0.003813676768913865,-22.90121078491211
17,29327,-701.0,701,0.44276800000025673,0.001531182206235826,-23.808340072631836
18,30339,-1012.0,1012,0.4235400000002656,0.009543947875499725,-24.13916778564453
19,30917,-578.0,578,0.41255800000027065,0.01589825190603733,-23.76511001586914
20,31553,-636.0,636,0.4004740000002762,0.0033027988392859697,-24.549976348876953
21,32308,-755.0,755,0.38612900000028283,0.00407527107745409,-25.37344741821289
22,32835,-527.0,527,0.37611600000028744,0.011350471526384354,-25.422889709472656
23,33156,-321.0,321,0.37001700000029025,0.031003613024950027,-25.41551971435547
24,33431,-275.0,275,0.36479200000029266,0.006779014132916927,-25.60995101928711
25,34004,-573.0,573,0.3539050000002977,0.06055621802806854,-26.727893829345703
26,34468,-464.0,464,0.34508900000030174,0.016542229801416397,-26.594303131103516
27,34770,-302.0,302,0.3393510000003044,0.0024364879354834557,-26.567501068115234
28,35335,-565.0,565,0.3286160000003093,0.007858780212700367,-27.227516174316406
29,36012,-677.0,677,0.31575300000031525,0.09028030931949615,-27.29892349243164
30,36336,-324.0,324,0.3095970000003181,0.007417918648570776,-27.691192626953125
31,37050,-714.0,714,0.29603100000032434,0.10906881093978882,-28.740150451660156
32,37314,-264.0,264,0.29101500000032665,4.23730993270874,-28.102262496948242
33,37662,-348.0,348,0.2844030000003297,0.030928142368793488,-28.269481658935547
34,37922,-260.0,260,0.279463000000332,0.04050504416227341,-28.28566551208496
35,38616,-694.0,694,0.26627700000033805,0.014397803694009781,-28.926372528076172
36,39032,-416.0,416,0.2583730000003417,0.012806687504053116,-29.490795135498047
37,39241,-209.0,209,0.2544020000003435,0.01212056539952755,-29.595996856689453
38,39552,-311.0,311,0.24849300000034624,0.0564328096807003,-29.55875015258789
39,39810,-258.0,258,0.2435910000003485,0.031207848340272903,-29.6975154876709
40,40238,-428.0,428,0.23545900000035225,0.01085660420358181,-30.639347076416016
41,40592,-354.0,354,0.22873300000035535,0.0037097258027642965,-30.393573760986328
42,40794,-202.0,202,0.22489500000035711,0.06042679399251938,-29.913616180419922
43,41188,-394.0,394,0.21740900000036056,0.025687245652079582,-31.50928497314453
44,41468,-280.0,280,0.21208900000036301,3.7531418800354004,-30.94355583190918
45,42102,-634.0,634,0.20004300000036856,0.008415095508098602,-31.746530532836914
46,42404,-302.0,302,0.1943050000003712,0.01384538784623146,-31.403240203857422
47,42705,-301.0,301,0.18858600000037384,0.0023237899877130985,-31.751737594604492
48,43062,-357.0,357,0.18180300000037697,0.0495300255715847,-32.15238952636719
49,43404,-342.0,342,0.17530500000037996,0.7111419439315796,-31.85528564453125
50,43671,-267.0,267,0.1702320000003823,0.005665231961756945,-32.448944091796875
51,43962,-291.0,291,0.16470300000038485,0.01252513937652111,-31.599853515625
52,44316,-354.0,354,0.15797700000038795,0.006472996436059475,-32.67832946777344
53,44603,-287.0,287,0.15252400000039046,0.004645936191082001,-32.45207977294922
54,44805,-202.0,202,0.14868600000039223,0.06833729147911072,-31.442358016967773
55,45411,-606.0,606,0.13717200000039753,0.024309100583195686,-33.4261589050293
56,45976,-565.0,565,0.12643700000040248,0.003590282052755356,-33.739051818847656
57,46285,-309.0,309,0.12056600000040193,0.050218358635902405,-33.088844299316406
58,46501,-216.0,216,0.11646200000040083,0.007248077541589737,-33.72280502319336
59,46718,-217.0,217,0.11233900000039972,0.021242927759885788,-33.85955810546875
60,46861,-143.0,143,0.10962200000039898,0.0291004478931427,-33.858924865722656
61,47106,-245.0,245,0.10496700000039773,0.011242174543440342,-33.566978454589844
62,47368,-262.0,262,0.09998900000039639,0.019447648897767067,-34.17192077636719
